id_date,date,day,month,year,day_of_week,day_name,month_name,quarter,weekday_indicator,week_of_year,is_end_of_month,is_end_of_quarter,is_end_of_year,quarter_name,year_month,quarter_year,holiday_indicator
20250312,2025-03-12,12,3,2025,3,Miércoles,Marzo,1,Entre Semana,11,False,False,False,T1,2025-03,T1 2025,No Festivo
20250313,2025-03-13,13,3,2025,4,Jueves,Marzo,1,Entre Semana,11,False,False,False,T1,2025-03,T1 2025,No Festivo
20250314,2025-03-14,14,3,2025,5,Viernes,Marzo,1,Entre Semana,11,False,False,False,T1,2025-03,T1 2025,No Festivo
20250315,2025-03-15,15,3,2025,6,Sábado,Marzo,1,Fin de Semana,11,False,False,False,T1,2025-03,T1 2025,No Festivo
20250316,2025-03-16,16,3,2025,7,Domingo,Marzo,1,Fin de Semana,11,False,False,False,T1,2025-03,T1 2025,No Festivo
20250317,2025-03-17,17,3,2025,1,Lunes,Marzo,1,Entre Semana,12,False,False,False,T1,2025-03,T1 2025,No Festivo
20250318,2025-03-18,18,3,2025,2,Martes,Marzo,1,Entre Semana,12,False,False,False,T1,2025-03,T1 2025,No Festivo
20250319,2025-03-19,19,3,2025,3,Miércoles,Marzo,1,Entre Semana,12,False,False,False,T1,2025-03,T1 2025,No Festivo
20250320,2025-03-20,20,3,2025,4,Jueves,Marzo,1,Entre Semana,12,False,False,False,T1,2025-03,T1 2025,No Festivo
20250321,2025-03-21,21,3,2025,5,Viernes,Marzo,1,Entre Semana,12,False,False,False,T1,2025-03,T1 2025,Festivo
20250322,2025-03-22,22,3,2025,6,Sábado,Marzo,1,Fin de Semana,12,False,False,False,T1,2025-03,T1 2025,No Festivo
20250323,2025-03-23,23,3,2025,7,Domingo,Marzo,1,Fin de Semana,12,False,False,False,T1,2025-03,T1 2025,No Festivo
20250324,2025-03-24,24,3,2025,1,Lunes,Marzo,1,Entre Semana,13,False,False,False,T1,2025-03,T1 2025,No Festivo
20250325,2025-03-25,25,3,2025,2,Martes,Marzo,1,Entre Semana,13,False,False,False,T1,2025-03,T1 2025,No Festivo
20250326,2025-03-26,26,3,2025,3,Miércoles,Marzo,1,Entre Semana,13,False,False,False,T1,2025-03,T1 2025,No Festivo
20250327,2025-03-27,27,3,2025,4,Jueves,Marzo,1,Entre Semana,13,False,False,False,T1,2025-03,T1 2025,No Festivo
20250328,2025-03-28,28,3,2025,5,Viernes,Marzo,1,Entre Semana,13,False,False,False,T1,2025-03,T1 2025,No Festivo
20250329,2025-03-29,29,3,2025,6,Sábado,Marzo,1,Fin de Semana,13,False,False,False,T1,2025-03,T1 2025,No Festivo
20250330,2025-03-30,30,3,2025,7,Domingo,Marzo,1,Fin de Semana,13,False,False,False,T1,2025-03,T1 2025,No Festivo
20250331,2025-03-31,31,3,2025,1,Lunes,Marzo,1,Entre Semana,14,True,True,False,T1,2025-03,T1 2025,No Festivo
20250401,2025-04-01,1,4,2025,2,Martes,Abril,2,Entre Semana,14,False,False,False,T2,2025-04,T2 2025,No Festivo
20250402,2025-04-02,2,4,2025,3,Miércoles,Abril,2,Entre Semana,14,False,False,False,T2,2025-04,T2 2025,No Festivo
20250403,2025-04-03,3,4,2025,4,Jueves,Abril,2,Entre Semana,14,False,False,False,T2,2025-04,T2 2025,No Festivo
20250404,2025-04-04,4,4,2025,5,Viernes,Abril,2,Entre Semana,14,False,False,False,T2,2025-04,T2 2025,No Festivo
20250405,2025-04-05,5,4,2025,6,Sábado,Abril,2,Fin de Semana,14,False,False,False,T2,2025-04,T2 2025,No Festivo
20250406,2025-04-06,6,4,2025,7,Domingo,Abril,2,Fin de Semana,14,False,False,False,T2,2025-04,T2 2025,No Festivo
20250407,2025-04-07,7,4,2025,1,Lunes,Abril,2,Entre Semana,15,False,False,False,T2,2025-04,T2 2025,No Festivo
20250408,2025-04-08,8,4,2025,2,Martes,Abril,2,Entre Semana,15,False,False,False,T2,2025-04,T2 2025,No Festivo
20250409,2025-04-09,9,4,2025,3,Miércoles,Abril,2,Entre Semana,15,False,False,False,T2,2025-04,T2 2025,No Festivo
20250410,2025-04-10,10,4,2025,4,Jueves,Abril,2,Entre Semana,15,False,False,False,T2,2025-04,T2 2025,No Festivo
20250411,2025-04-11,11,4,2025,5,Viernes,Abril,2,Entre Semana,15,False,False,False,T2,2025-04,T2 2025,No Festivo
20250412,2025-04-12,12,4,2025,6,Sábado,Abril,2,Fin de Semana,15,False,False,False,T2,2025-04,T2 2025,No Festivo
